name,label
CF001 - Missing Queen - Day -_chunk0000,noqueen
CF001 - Missing Queen - Day -_chunk0001,noqueen
CF001 - Missing Queen - Day -_chunk0002,noqueen
CF001 - Missing Queen - Day -_chunk0003,noqueen
CF001 - Missing Queen - Day -_chunk0004,noqueen
CF001 - Missing Queen - Day -_chunk0005,noqueen
CF001 - Missing Queen - Day -_chunk0006,noqueen
CF001 - Missing Queen - Day -_chunk0007,noqueen
CF001 - Missing Queen - Day -_chunk0008,noqueen
CF001 - Missing Queen - Day -_chunk0009,noqueen
CF001 - Missing Queen - Day -_chunk0010,noqueen
CF001 - Missing Queen - Day -_chunk0011,noqueen
CF001 - Missing Queen - Day -_chunk0012,noqueen
CF001 - Missing Queen - Day -_chunk0013,noqueen
CF001 - Missing Queen - Day -_chunk0014,noqueen
CF001 - Missing Queen - Day -_chunk0015,noqueen
CF001 - Missing Queen - Day -_chunk0016,noqueen
CF001 - Missing Queen - Day -_chunk0017,noqueen
CF001 - Missing Queen - Day -_chunk0018,noqueen
CF001 - Missing Queen - Day -_chunk0019,noqueen
CF001 - Missing Queen - Day -_chunk0020,noqueen
CF001 - Missing Queen - Day -_chunk0024,noqueen
CF001 - Missing Queen - Day -_chunk0025,noqueen
CF001 - Missing Queen - Day -_chunk0026,noqueen
CF001 - Missing Queen - Day -_chunk0027,noqueen
CF001 - Missing Queen - Day -_chunk0028,noqueen
GH001 - Active - Day - 141022_0659_0751_chunk0000,queen
GH001 - Active - Day - 141022_0659_0751_chunk0001,queen
GH001 - Active - Day - 141022_0659_0751_chunk0002,queen
GH001 - Active - Day - 141022_0659_0751_chunk0003,queen
GH001 - Active - Day - 141022_0659_0751_chunk0004,queen
GH001 - Active - Day - 141022_0659_0751_chunk0005,queen
GH001 - Active - Day - 141022_0659_0751_chunk0006,queen
GH001 - Active - Day - 141022_0659_0751_chunk0007,queen
GH001 - Active - Day - 141022_0659_0751_chunk0008,queen
GH001 - Active - Day - 141022_0659_0751_chunk0009,queen
GH001 - Active - Day - 141022_0659_0751_chunk0010,queen
GH001 - Active - Day - 141022_0659_0751_chunk0011,queen
GH001 - Active - Day - 141022_0659_0751_chunk0012,queen
GH001 - Active - Day - 141022_0659_0751_chunk0013,queen
GH001 - Active - Day - 141022_0659_0751_chunk0014,queen
GH001 - Active - Day - 141022_0659_0751_chunk0015,queen
GH001 - Active - Day - 141022_0659_0751_chunk0016,queen
GH001 - Active - Day - 141022_0659_0751_chunk0017,queen
GH001 - Active - Day - 141022_0659_0751_chunk0018,queen
GH001 - Active - Day - 141022_0659_0751_chunk0019,queen
GH001 - Active - Day - 141022_0659_0751_chunk0020,queen
GH001 - Active - Day - 141022_0659_0751_chunk0021,queen
GH001 - Active - Day - 141022_0659_0751_chunk0022,queen
GH001 - Active - Day - 141022_0659_0751_chunk0023,queen
GH001 - Active - Day - 141022_0659_0751_chunk0024,queen
GH001 - Active - Day - 141022_0659_0751_chunk0025,queen
GH001 - Active - Day - 141022_0659_0751_chunk0026,queen
GH001 - Active - Day - 141022_0659_0751_chunk0027,queen
GH001 - Active - Day - 141022_0659_0751_chunk0028,queen
GH001 - Active - Day - 141022_0659_0751_chunk0029,queen
GH001 - Active - Day - 141022_0659_0751_chunk0030,queen
GH001 - Active - Day - 141022_0659_0751_chunk0031,queen
GH001 - Active - Day - 141022_0659_0751_chunk0032,queen
GH001 - Active - Day - 141022_0659_0751_chunk0033,queen
GH001 - Active - Day - 141022_0659_0751_chunk0034,queen
GH001 - Active - Day - 141022_0659_0751_chunk0035,queen
GH001 - Active - Day - 141022_0659_0751_chunk0036,queen
GH001 - Active - Day - 141022_0659_0751_chunk0037,queen
