id,source,start_t,end_t,p_ratio
0,CF001 - Missing Queen - Day -.mp3,0.0,1.0,0.0
1,CF001 - Missing Queen - Day -.mp3,1.0,2.0,0.0
2,CF001 - Missing Queen - Day -.mp3,2.0,3.0,0.0
3,CF001 - Missing Queen - Day -.mp3,3.0,4.0,0.0
4,CF001 - Missing Queen - Day -.mp3,4.0,5.0,0.0
5,CF001 - Missing Queen - Day -.mp3,5.0,6.0,0.0
6,CF001 - Missing Queen - Day -.mp3,6.0,7.0,0.0
7,CF001 - Missing Queen - Day -.mp3,7.0,8.0,0.0
8,CF001 - Missing Queen - Day -.mp3,8.0,9.0,0.0
9,CF001 - Missing Queen - Day -.mp3,9.0,10.0,0.0
10,CF001 - Missing Queen - Day -.mp3,10.0,11.0,0.0
11,CF001 - Missing Queen - Day -.mp3,11.0,12.0,0.26
12,CF001 - Missing Queen - Day -.mp3,12.0,13.0,0.0
13,CF001 - Missing Queen - Day -.mp3,13.0,14.0,0.0
14,CF001 - Missing Queen - Day -.mp3,14.0,15.0,0.0
15,GH001 - Active - Day - 141022_0659_0751.mp3,0.0,1.0,0.0
16,GH001 - Active - Day - 141022_0659_0751.mp3,1.0,2.0,0.0
17,GH001 - Active - Day - 141022_0659_0751.mp3,2.0,3.0,0.0
18,GH001 - Active - Day - 141022_0659_0751.mp3,3.0,4.0,0.0
19,GH001 - Active - Day - 141022_0659_0751.mp3,4.0,5.0,0.0
20,GH001 - Active - Day - 141022_0659_0751.mp3,5.0,6.0,0.0
21,GH001 - Active - Day - 141022_0659_0751.mp3,6.0,7.0,0.0
22,GH001 - Active - Day - 141022_0659_0751.mp3,7.0,8.0,0.0
23,GH001 - Active - Day - 141022_0659_0751.mp3,8.0,9.0,0.0
24,GH001 - Active - Day - 141022_0659_0751.mp3,9.0,10.0,0.0
25,GH001 - Active - Day - 141022_0659_0751.mp3,10.0,11.0,0.0
26,GH001 - Active - Day - 141022_0659_0751.mp3,11.0,12.0,0.0
27,GH001 - Active - Day - 141022_0659_0751.mp3,12.0,13.0,0.0
28,GH001 - Active - Day - 141022_0659_0751.mp3,13.0,14.0,0.0
29,GH001 - Active - Day - 141022_0659_0751.mp3,14.0,15.0,0.0
30,GH001 - Active - Day - 141022_0659_0751.mp3,15.0,16.0,0.0
31,GH001 - Active - Day - 141022_0659_0751.mp3,16.0,17.0,0.0
32,GH001 - Active - Day - 141022_0659_0751.mp3,17.0,18.0,0.0
33,GH001 - Active - Day - 141022_0659_0751.mp3,18.0,19.0,0.0
34,GH001 - Active - Day - 141022_0659_0751.mp3,19.0,20.0,0.0
35,GH001 - Active - Day - 141022_0659_0751.mp3,20.0,21.0,0.0
36,GH001 - Active - Day - 141022_0659_0751.mp3,21.0,22.0,0.0
37,GH001 - Active - Day - 141022_0659_0751.mp3,22.0,23.0,0.0
38,GH001 - Active - Day - 141022_0659_0751.mp3,23.0,24.0,0.0
39,GH001 - Active - Day - 141022_0659_0751.mp3,24.0,25.0,0.0
40,GH001 - Active - Day - 141022_0659_0751.mp3,25.0,26.0,0.0
41,GH001 - Active - Day - 141022_0659_0751.mp3,26.0,27.0,0.0
42,GH001 - Active - Day - 141022_0659_0751.mp3,27.0,28.0,0.0
43,GH001 - Active - Day - 141022_0659_0751.mp3,28.0,29.0,0.0
44,GH001 - Active - Day - 141022_0659_0751.mp3,29.0,30.0,0.0
45,GH001 - Active - Day - 141022_0659_0751.mp3,30.0,31.0,0.0
46,GH001 - Active - Day - 141022_0659_0751.mp3,31.0,32.0,0.0
47,GH001 - Active - Day - 141022_0659_0751.mp3,32.0,33.0,0.0
48,GH001 - Active - Day - 141022_0659_0751.mp3,33.0,34.0,0.0
49,GH001 - Active - Day - 141022_0659_0751.mp3,34.0,35.0,0.0
50,GH001 - Active - Day - 141022_0659_0751.mp3,35.0,36.0,0.0
51,GH001 - Active - Day - 141022_0659_0751.mp3,36.0,37.0,0.0
52,GH001 - Active - Day - 141022_0659_0751.mp3,37.0,38.0,0.0
53,GH001 - Active - Day - 141022_0659_0751.mp3,38.0,39.0,0.0
54,GH001 - Active - Day - 141022_0659_0751.mp3,39.0,40.0,0.0
55,GH001 - Active - Day - 141022_0659_0751.mp3,40.0,41.0,0.0
56,GH001 - Active - Day - 141022_0659_0751.mp3,41.0,42.0,0.0
57,GH001 - Active - Day - 141022_0659_0751.mp3,42.0,43.0,0.0
58,GH001 - Active - Day - 141022_0659_0751.mp3,43.0,44.0,0.0
59,GH001 - Active - Day - 141022_0659_0751.mp3,44.0,45.0,0.0
60,GH001 - Active - Day - 141022_0659_0751.mp3,45.0,46.0,0.0
61,GH001 - Active - Day - 141022_0659_0751.mp3,46.0,47.0,0.0
62,GH001 - Active - Day - 141022_0659_0751.mp3,47.0,48.0,0.0
63,GH001 - Active - Day - 141022_0659_0751.mp3,48.0,49.0,0.0
64,GH001 - Active - Day - 141022_0659_0751.mp3,49.0,50.0,0.0
65,GH001 - Active - Day - 141022_0659_0751.mp3,50.0,51.0,0.0
66,GH001 - Active - Day - 141022_0659_0751.mp3,51.0,52.0,0.0
67,GH001 - Active - Day - 141022_0659_0751.mp3,52.0,53.0,0.0
68,GH001 - Active - Day - 141022_0659_0751.mp3,53.0,54.0,0.0
69,GH001 - Active - Day - 141022_0659_0751.mp3,54.0,55.0,0.0
70,GH001 - Active - Day - 141022_0659_0751.mp3,55.0,56.0,0.0
71,GH001 - Active - Day - 141022_0659_0751.mp3,56.0,57.0,0.0
72,GH001 - Active - Day - 141022_0659_0751.mp3,57.0,58.0,0.0
73,GH001 - Active - Day - 141022_0659_0751.mp3,58.0,59.0,0.0
74,GH001 - Active - Day - 141022_0659_0751.mp3,59.0,60.0,0.0
75,GH001 - Active - Day - 141022_0659_0751.mp3,60.0,61.0,0.3
76,GH001 - Active - Day - 141022_0659_0751.mp3,61.0,62.0,0.3
77,GH001 - Active - Day - 141022_0659_0751.mp3,62.0,63.0,0.0
78,GH001 - Active - Day - 141022_0659_0751.mp3,63.0,64.0,0.0
79,GH001 - Active - Day - 141022_0659_0751.mp3,64.0,65.0,0.0
80,GH001 - Active - Day - 141022_0659_0751.mp3,65.0,66.0,0.0
81,GH001 - Active - Day - 141022_0659_0751.mp3,66.0,67.0,0.0
82,GH001 - Active - Day - 141022_0659_0751.mp3,67.0,68.0,0.0
83,GH001 - Active - Day - 141022_0659_0751.mp3,68.0,69.0,0.0
84,GH001 - Active - Day - 141022_0659_0751.mp3,69.0,70.0,0.44
85,GH001 - Active - Day - 141022_0659_0751.mp3,70.0,71.0,0.0
86,GH001 - Active - Day - 141022_0659_0751.mp3,71.0,72.0,0.0
87,GH001 - Active - Day - 141022_0659_0751.mp3,72.0,73.0,0.0
88,GH001 - Active - Day - 141022_0659_0751.mp3,73.0,74.0,0.0
89,GH001 - Active - Day - 141022_0659_0751.mp3,74.0,75.0,0.05
90,GH001 - Active - Day - 141022_0659_0751.mp3,75.0,76.0,0.26
91,GH001 - Active - Day - 141022_0659_0751.mp3,76.0,77.0,0.61
92,GH001 - Active - Day - 141022_0659_0751.mp3,77.0,78.0,0.28
93,GH001 - Active - Day - 141022_0659_0751.mp3,78.0,79.0,0.0
94,GH001 - Active - Day - 141022_0659_0751.mp3,79.0,80.0,0.0
95,GH001 - Active - Day - 141022_0659_0751.mp3,80.0,81.0,0.0
96,GH001 - Active - Day - 141022_0659_0751.mp3,81.0,82.0,0.0
97,GH001 - Active - Day - 141022_0659_0751.mp3,82.0,83.0,0.0
98,GH001 - Active - Day - 141022_0659_0751.mp3,83.0,84.0,0.0
99,GH001 - Active - Day - 141022_0659_0751.mp3,84.0,85.0,0.0
100,GH001 - Active - Day - 141022_0659_0751.mp3,85.0,86.0,0.0
101,GH001 - Active - Day - 141022_0659_0751.mp3,86.0,87.0,0.0
102,GH001 - Active - Day - 141022_0659_0751.mp3,87.0,88.0,0.0
103,GH001 - Active - Day - 141022_0659_0751.mp3,88.0,89.0,0.0
104,GH001 - Active - Day - 141022_0659_0751.mp3,89.0,90.0,0.0
105,GH001 - Active - Day - 141022_0659_0751.mp3,90.0,91.0,0.0
106,GH001 - Active - Day - 141022_0659_0751.mp3,91.0,92.0,0.0
107,GH001 - Active - Day - 141022_0659_0751.mp3,92.0,93.0,0.0
108,GH001 - Active - Day - 141022_0659_0751.mp3,93.0,94.0,0.38
109,GH001 - Active - Day - 141022_0659_0751.mp3,94.0,95.0,0.41
110,GH001 - Active - Day - 141022_0659_0751.mp3,95.0,96.0,0.0
111,GH001 - Active - Day - 141022_0659_0751.mp3,96.0,97.0,0.0
112,GH001 - Active - Day - 141022_0659_0751.mp3,97.0,98.0,0.0
113,GH001 - Active - Day - 141022_0659_0751.mp3,98.0,99.0,0.0
114,GH001 - Active - Day - 141022_0659_0751.mp3,99.0,100.0,0.0
115,GH001 - Active - Day - 141022_0659_0751.mp3,100.0,101.0,0.0
116,GH001 - Active - Day - 141022_0659_0751.mp3,101.0,102.0,0.0
117,GH001 - Active - Day - 141022_0659_0751.mp3,102.0,103.0,0.0
118,GH001 - Active - Day - 141022_0659_0751.mp3,103.0,104.0,0.0
119,GH001 - Active - Day - 141022_0659_0751.mp3,104.0,105.0,0.0
120,GH001 - Active - Day - 141022_0659_0751.mp3,105.0,106.0,0.02
121,GH001 - Active - Day - 141022_0659_0751.mp3,106.0,107.0,0.58
122,GH001 - Active - Day - 141022_0659_0751.mp3,107.0,108.0,0.0
123,GH001 - Active - Day - 141022_0659_0751.mp3,108.0,109.0,0.0
124,GH001 - Active - Day - 141022_0659_0751.mp3,109.0,110.0,0.0
125,GH001 - Active - Day - 141022_0659_0751.mp3,110.0,111.0,0.0
126,GH001 - Active - Day - 141022_0659_0751.mp3,111.0,112.0,0.0
127,GH001 - Active - Day - 141022_0659_0751.mp3,112.0,113.0,0.0
128,GH001 - Active - Day - 141022_0659_0751.mp3,113.0,114.0,0.62
129,GH001 - Active - Day - 141022_0659_0751.mp3,114.0,115.0,0.0
130,GH001 - Active - Day - 141022_0659_0751.mp3,115.0,116.0,0.0
131,GH001 - Active - Day - 141022_0659_0751.mp3,116.0,117.0,0.0
132,GH001 - Active - Day - 141022_0659_0751.mp3,117.0,118.0,0.0
133,GH001 - Active - Day - 141022_0659_0751.mp3,118.0,119.0,0.0
134,GH001 - Active - Day - 141022_0659_0751.mp3,119.0,120.0,0.0
135,GH001 - Active - Day - 141022_0659_0751.mp3,120.0,121.0,0.0
136,GH001 - Active - Day - 141022_0659_0751.mp3,121.0,122.0,0.0
137,GH001 - Active - Day - 141022_0659_0751.mp3,122.0,123.0,0.0
138,GH001 - Active - Day - 141022_0659_0751.mp3,123.0,124.0,0.0
139,GH001 - Active - Day - 141022_0659_0751.mp3,124.0,125.0,0.0
140,GH001 - Active - Day - 141022_0659_0751.mp3,125.0,126.0,0.0
141,GH001 - Active - Day - 141022_0659_0751.mp3,126.0,127.0,0.0
142,GH001 - Active - Day - 141022_0659_0751.mp3,127.0,128.0,0.0
143,GH001 - Active - Day - 141022_0659_0751.mp3,128.0,129.0,0.0
144,GH001 - Active - Day - 141022_0659_0751.mp3,129.0,130.0,0.0
145,GH001 - Active - Day - 141022_0659_0751.mp3,130.0,131.0,0.0
146,GH001 - Active - Day - 141022_0659_0751.mp3,131.0,132.0,0.0
147,GH001 - Active - Day - 141022_0659_0751.mp3,132.0,133.0,0.0
148,GH001 - Active - Day - 141022_0659_0751.mp3,133.0,134.0,0.0
149,GH001 - Active - Day - 141022_0659_0751.mp3,134.0,135.0,0.0
150,GH001 - Active - Day - 141022_0659_0751.mp3,135.0,136.0,0.0
151,GH001 - Active - Day - 141022_0659_0751.mp3,136.0,137.0,0.0
152,GH001 - Active - Day - 141022_0659_0751.mp3,137.0,138.0,0.0
153,GH001 - Active - Day - 141022_0659_0751.mp3,138.0,139.0,0.0
154,GH001 - Active - Day - 141022_0659_0751.mp3,139.0,140.0,0.0
155,GH001 - Active - Day - 141022_0659_0751.mp3,140.0,141.0,0.0
156,GH001 - Active - Day - 141022_0659_0751.mp3,141.0,142.0,0.0
157,GH001 - Active - Day - 141022_0659_0751.mp3,142.0,143.0,0.4
158,GH001 - Active - Day - 141022_0659_0751.mp3,143.0,144.0,0.0
159,GH001 - Active - Day - 141022_0659_0751.mp3,144.0,145.0,0.0
160,GH001 - Active - Day - 141022_0659_0751.mp3,145.0,146.0,0.0
161,GH001 - Active - Day - 141022_0659_0751.mp3,146.0,147.0,0.0
162,GH001 - Active - Day - 141022_0659_0751.mp3,147.0,148.0,0.0
